# downsampled raw LIO trajectory
# t_rel	x	y	z
18.75850	2.06476	7.77636	-1.06926
18.82400	2.07844	7.79945	-1.06623
18.82400	2.07595	7.82074	-1.06867
18.88950	2.07932	7.83796	-1.08694
18.88950	2.08495	7.86519	-1.09069
18.95390	2.08537	7.88681	-1.09309
18.95390	2.07989	7.91476	-1.09532
19.01900	2.07850	7.93935	-1.10370
19.01900	2.08918	7.95916	-1.10369
19.08450	2.08158	7.98736	-1.10432
19.08450	2.08539	8.00820	-1.11064
19.14900	2.07954	8.03626	-1.11775
19.14900	2.09102	8.05163	-1.11975
19.21450	2.10061	8.07456	-1.12686
19.21450	2.10724	8.09591	-1.13157
19.27950	2.11791	8.11519	-1.12676
19.27950	2.11423	8.14145	-1.13100
19.27950	2.12089	8.16192	-1.12965
19.34450	2.11840	8.18575	-1.13452
19.34450	2.12883	8.20613	-1.13056
19.41000	2.13302	8.22699	-1.13371
19.41000	2.14221	8.24418	-1.13012
19.47510	2.14459	8.26397	-1.13532
19.47510	2.15643	8.27557	-1.13805
19.54000	2.17202	8.28889	-1.14070
19.54000	2.17589	8.30284	-1.14966
19.60550	2.17683	8.31904	-1.15472
19.60550	2.17390	8.33753	-1.15605
19.67050	2.18048	8.35150	-1.14778
19.67050	2.18756	8.36822	-1.14769
19.73550	2.19414	8.38242	-1.14716
19.73550	2.19921	8.39370	-1.14550
